,Training Loss,Validation Loss
0,"tensor(0.7533, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4621, grad_fn=<BinaryCrossEntropyBackward0>)"
1,"tensor(0.7270, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4561, grad_fn=<BinaryCrossEntropyBackward0>)"
2,"tensor(0.6874, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4529, grad_fn=<BinaryCrossEntropyBackward0>)"
3,"tensor(0.6973, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4496, grad_fn=<BinaryCrossEntropyBackward0>)"
4,"tensor(0.6882, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4483, grad_fn=<BinaryCrossEntropyBackward0>)"
5,"tensor(0.6716, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4475, grad_fn=<BinaryCrossEntropyBackward0>)"
6,"tensor(0.6576, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4468, grad_fn=<BinaryCrossEntropyBackward0>)"
7,"tensor(0.6513, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4466, grad_fn=<BinaryCrossEntropyBackward0>)"
8,"tensor(0.6408, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4456, grad_fn=<BinaryCrossEntropyBackward0>)"
9,"tensor(0.6306, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4443, grad_fn=<BinaryCrossEntropyBackward0>)"
10,"tensor(0.6253, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4437, grad_fn=<BinaryCrossEntropyBackward0>)"
11,"tensor(0.6170, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4432, grad_fn=<BinaryCrossEntropyBackward0>)"
12,"tensor(0.5994, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4426, grad_fn=<BinaryCrossEntropyBackward0>)"
13,"tensor(0.5746, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4419, grad_fn=<BinaryCrossEntropyBackward0>)"
14,"tensor(0.5601, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4416, grad_fn=<BinaryCrossEntropyBackward0>)"
15,"tensor(0.5690, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4416, grad_fn=<BinaryCrossEntropyBackward0>)"
16,"tensor(0.5641, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4413, grad_fn=<BinaryCrossEntropyBackward0>)"
17,"tensor(0.5700, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4413, grad_fn=<BinaryCrossEntropyBackward0>)"
18,"tensor(0.5764, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4409, grad_fn=<BinaryCrossEntropyBackward0>)"
19,"tensor(0.5685, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4406, grad_fn=<BinaryCrossEntropyBackward0>)"
20,"tensor(0.5610, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4403, grad_fn=<BinaryCrossEntropyBackward0>)"
21,"tensor(0.5538, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4403, grad_fn=<BinaryCrossEntropyBackward0>)"
22,"tensor(0.5504, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4404, grad_fn=<BinaryCrossEntropyBackward0>)"
23,"tensor(0.5496, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4403, grad_fn=<BinaryCrossEntropyBackward0>)"
24,"tensor(0.5542, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4400, grad_fn=<BinaryCrossEntropyBackward0>)"
25,"tensor(0.5561, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4400, grad_fn=<BinaryCrossEntropyBackward0>)"
26,"tensor(0.5487, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4396, grad_fn=<BinaryCrossEntropyBackward0>)"
27,"tensor(0.5653, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4390, grad_fn=<BinaryCrossEntropyBackward0>)"
28,"tensor(0.5661, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4388, grad_fn=<BinaryCrossEntropyBackward0>)"
29,"tensor(0.5654, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4387, grad_fn=<BinaryCrossEntropyBackward0>)"
30,"tensor(0.5721, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4387, grad_fn=<BinaryCrossEntropyBackward0>)"
31,"tensor(0.5919, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4387, grad_fn=<BinaryCrossEntropyBackward0>)"
32,"tensor(0.5957, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4386, grad_fn=<BinaryCrossEntropyBackward0>)"
33,"tensor(0.5861, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4382, grad_fn=<BinaryCrossEntropyBackward0>)"
34,"tensor(0.5903, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4377, grad_fn=<BinaryCrossEntropyBackward0>)"
35,"tensor(0.5876, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4375, grad_fn=<BinaryCrossEntropyBackward0>)"
36,"tensor(0.6030, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4377, grad_fn=<BinaryCrossEntropyBackward0>)"
37,"tensor(0.6004, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4376, grad_fn=<BinaryCrossEntropyBackward0>)"
38,"tensor(0.6043, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4375, grad_fn=<BinaryCrossEntropyBackward0>)"
39,"tensor(0.5960, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4374, grad_fn=<BinaryCrossEntropyBackward0>)"
40,"tensor(0.5984, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
41,"tensor(0.6124, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
42,"tensor(0.6077, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
43,"tensor(0.6182, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
44,"tensor(0.6144, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4370, grad_fn=<BinaryCrossEntropyBackward0>)"
45,"tensor(0.6137, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
46,"tensor(0.6156, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
47,"tensor(0.6184, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4374, grad_fn=<BinaryCrossEntropyBackward0>)"
48,"tensor(0.6207, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
49,"tensor(0.6219, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4373, grad_fn=<BinaryCrossEntropyBackward0>)"
50,"tensor(0.6238, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
51,"tensor(0.6192, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4373, grad_fn=<BinaryCrossEntropyBackward0>)"
52,"tensor(0.6197, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4373, grad_fn=<BinaryCrossEntropyBackward0>)"
53,"tensor(0.6262, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
54,"tensor(0.6236, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
55,"tensor(0.6210, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4371, grad_fn=<BinaryCrossEntropyBackward0>)"
56,"tensor(0.6255, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4371, grad_fn=<BinaryCrossEntropyBackward0>)"
57,"tensor(0.6233, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
58,"tensor(0.6243, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
59,"tensor(0.6247, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
60,"tensor(0.6317, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
61,"tensor(0.6305, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
62,"tensor(0.6327, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward0>)"
63,"tensor(0.6420, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4371, grad_fn=<BinaryCrossEntropyBackward0>)"
64,"tensor(0.6355, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4371, grad_fn=<BinaryCrossEntropyBackward0>)"
65,"tensor(0.6385, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4370, grad_fn=<BinaryCrossEntropyBackward0>)"
66,"tensor(0.6343, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4363, grad_fn=<BinaryCrossEntropyBackward0>)"
67,"tensor(0.6263, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4361, grad_fn=<BinaryCrossEntropyBackward0>)"
68,"tensor(0.6357, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4361, grad_fn=<BinaryCrossEntropyBackward0>)"
69,"tensor(0.6426, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4361, grad_fn=<BinaryCrossEntropyBackward0>)"
70,"tensor(0.6439, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4360, grad_fn=<BinaryCrossEntropyBackward0>)"
71,"tensor(0.6370, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4355, grad_fn=<BinaryCrossEntropyBackward0>)"
72,"tensor(0.6438, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4355, grad_fn=<BinaryCrossEntropyBackward0>)"
73,"tensor(0.6406, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4354, grad_fn=<BinaryCrossEntropyBackward0>)"
74,"tensor(0.6487, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4355, grad_fn=<BinaryCrossEntropyBackward0>)"
75,"tensor(0.6536, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4354, grad_fn=<BinaryCrossEntropyBackward0>)"
76,"tensor(0.6550, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4353, grad_fn=<BinaryCrossEntropyBackward0>)"
77,"tensor(0.6587, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4352, grad_fn=<BinaryCrossEntropyBackward0>)"
78,"tensor(0.6622, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4351, grad_fn=<BinaryCrossEntropyBackward0>)"
79,"tensor(0.6575, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4351, grad_fn=<BinaryCrossEntropyBackward0>)"
80,"tensor(0.6630, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4352, grad_fn=<BinaryCrossEntropyBackward0>)"
