,Training Loss,Validation Loss
0,"tensor(0.5689, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5093, grad_fn=<BinaryCrossEntropyBackward0>)"
1,"tensor(0.5580, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5051, grad_fn=<BinaryCrossEntropyBackward0>)"
2,"tensor(0.5308, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4980, grad_fn=<BinaryCrossEntropyBackward0>)"
3,"tensor(0.5333, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4965, grad_fn=<BinaryCrossEntropyBackward0>)"
4,"tensor(0.5349, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4956, grad_fn=<BinaryCrossEntropyBackward0>)"
5,"tensor(0.5270, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4954, grad_fn=<BinaryCrossEntropyBackward0>)"
6,"tensor(0.5226, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4954, grad_fn=<BinaryCrossEntropyBackward0>)"
7,"tensor(0.5195, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4952, grad_fn=<BinaryCrossEntropyBackward0>)"
8,"tensor(0.5262, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4947, grad_fn=<BinaryCrossEntropyBackward0>)"
9,"tensor(0.5195, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4942, grad_fn=<BinaryCrossEntropyBackward0>)"
10,"tensor(0.5175, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4940, grad_fn=<BinaryCrossEntropyBackward0>)"
11,"tensor(0.5212, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4938, grad_fn=<BinaryCrossEntropyBackward0>)"
12,"tensor(0.5195, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4927, grad_fn=<BinaryCrossEntropyBackward0>)"
13,"tensor(0.5244, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4918, grad_fn=<BinaryCrossEntropyBackward0>)"
14,"tensor(0.5279, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4910, grad_fn=<BinaryCrossEntropyBackward0>)"
15,"tensor(0.5237, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4904, grad_fn=<BinaryCrossEntropyBackward0>)"
16,"tensor(0.5264, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4902, grad_fn=<BinaryCrossEntropyBackward0>)"
17,"tensor(0.5326, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4898, grad_fn=<BinaryCrossEntropyBackward0>)"
18,"tensor(0.5293, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4896, grad_fn=<BinaryCrossEntropyBackward0>)"
19,"tensor(0.5282, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4893, grad_fn=<BinaryCrossEntropyBackward0>)"
20,"tensor(0.5227, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4891, grad_fn=<BinaryCrossEntropyBackward0>)"
21,"tensor(0.5128, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4876, grad_fn=<BinaryCrossEntropyBackward0>)"
22,"tensor(0.5081, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4869, grad_fn=<BinaryCrossEntropyBackward0>)"
23,"tensor(0.5047, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4867, grad_fn=<BinaryCrossEntropyBackward0>)"
24,"tensor(0.4974, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4866, grad_fn=<BinaryCrossEntropyBackward0>)"
25,"tensor(0.4969, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4867, grad_fn=<BinaryCrossEntropyBackward0>)"
26,"tensor(0.5010, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4865, grad_fn=<BinaryCrossEntropyBackward0>)"
27,"tensor(0.5004, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4862, grad_fn=<BinaryCrossEntropyBackward0>)"
28,"tensor(0.5045, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4857, grad_fn=<BinaryCrossEntropyBackward0>)"
29,"tensor(0.4946, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4855, grad_fn=<BinaryCrossEntropyBackward0>)"
30,"tensor(0.4917, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4853, grad_fn=<BinaryCrossEntropyBackward0>)"
31,"tensor(0.4869, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4853, grad_fn=<BinaryCrossEntropyBackward0>)"
32,"tensor(0.4900, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4853, grad_fn=<BinaryCrossEntropyBackward0>)"
33,"tensor(0.4898, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4851, grad_fn=<BinaryCrossEntropyBackward0>)"
34,"tensor(0.4898, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4849, grad_fn=<BinaryCrossEntropyBackward0>)"
35,"tensor(0.4877, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4850, grad_fn=<BinaryCrossEntropyBackward0>)"
36,"tensor(0.4887, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4849, grad_fn=<BinaryCrossEntropyBackward0>)"
37,"tensor(0.4869, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4848, grad_fn=<BinaryCrossEntropyBackward0>)"
38,"tensor(0.4807, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4848, grad_fn=<BinaryCrossEntropyBackward0>)"
39,"tensor(0.4827, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4848, grad_fn=<BinaryCrossEntropyBackward0>)"
40,"tensor(0.4839, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4848, grad_fn=<BinaryCrossEntropyBackward0>)"
41,"tensor(0.4839, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4848, grad_fn=<BinaryCrossEntropyBackward0>)"
