Game,Winner,0,1,2,3,4,5,6,7,8
0,X,,,X,,,,,,
0,X,,,X,,,O,,,
0,X,,,X,,X,O,,,
0,X,,,X,,X,O,,,O
0,X,,,X,,X,O,X,,O
1,X,,,,,,,X,,
1,X,,,,O,,,X,,
1,X,,,,O,X,,X,,
1,X,,,O,O,X,,X,,
1,X,,X,O,O,X,,X,,
1,X,,X,O,O,X,O,X,,
1,X,,X,O,O,X,O,X,X,
2,X,,,,,X,,,,
2,X,,,,,X,,O,,
2,X,X,,,,X,,O,,
2,X,X,,,O,X,,O,,
2,X,X,X,,O,X,,O,,
2,X,X,X,O,O,X,,O,,
2,X,X,X,O,O,X,,O,X,
3,X,,X,,,,,,,
3,X,,X,,,,,O,,
3,X,,X,,,,,O,X,
3,X,,X,,O,,,O,X,
3,X,,X,,O,,X,O,X,
3,X,,X,,O,,X,O,X,O
3,X,,X,,O,X,X,O,X,O
4,X,X,,,,,,,,
4,X,X,,O,,,,,,
4,X,X,,O,,,X,,,
4,X,X,,O,,,X,,,O
4,X,X,,O,,,X,,X,O
4,X,X,O,O,,,X,,X,O
4,X,X,O,O,,,X,X,X,O
4,X,X,O,O,,O,X,X,X,O
4,X,X,O,O,X,O,X,X,X,O
5,O,,,,X,,,,,
5,O,,O,,X,,,,,
5,O,,O,,X,,,X,,
5,O,O,O,,X,,,X,,
5,O,O,O,,X,,,X,X,
5,O,O,O,O,X,,,X,X,
6,O,,,X,,,,,,
6,O,,,X,,,,,,O
6,O,,,X,X,,,,,O
6,O,,,X,X,O,,,,O
6,O,,,X,X,O,,X,,O
6,O,,O,X,X,O,,X,,O
6,O,,O,X,X,O,X,X,,O
6,O,,O,X,X,O,X,X,O,O
7,X,,,,,,,X,,
7,X,,,,,,O,X,,
7,X,,,,X,,O,X,,
7,X,,,O,X,,O,X,,
7,X,,X,O,X,,O,X,,
7,X,O,X,O,X,,O,X,,
7,X,O,X,O,X,,O,X,X,
7,X,O,X,O,X,O,O,X,X,
7,X,O,X,O,X,O,O,X,X,X
8,X,,,,,,,,,X
8,X,,O,,,,,,,X
8,X,,O,X,,,,,,X
8,X,,O,X,,,,O,,X
8,X,X,O,X,,,,O,,X
8,X,X,O,X,,,,O,O,X
8,X,X,O,X,,X,,O,O,X
9,O,,X,,,,,,,
9,O,,X,,,,,,,O
9,O,,X,,X,,,,,O
9,O,,X,O,X,,,,,O
9,O,,X,O,X,,,,X,O
9,O,,X,O,X,,,O,X,O
9,O,,X,O,X,,X,O,X,O
9,O,,X,O,X,O,X,O,X,O
10,X,,,,,,,,X,
10,X,,,,,O,,,X,
10,X,X,,,,O,,,X,
10,X,X,O,,,O,,,X,
10,X,X,O,,,O,,X,X,
10,X,X,O,,O,O,,X,X,
10,X,X,O,,O,O,,X,X,X
11,,X,,,,,,,,
11,,X,,,,O,,,,
11,,X,,,,O,,X,,
11,,X,,,O,O,,X,,
11,,X,,X,O,O,,X,,
11,,X,O,X,O,O,,X,,
11,,X,O,X,O,O,,X,X,
11,,X,O,X,O,O,,X,X,O
11,,X,O,X,O,O,X,X,X,O
12,X,,X,,,,,,,
12,X,,X,,,,,,,O
12,X,,X,,X,,,,,O
12,X,,X,,X,,,O,,O
12,X,,X,,X,X,,O,,O
12,X,O,X,,X,X,,O,,O
12,X,O,X,,X,X,X,O,,O
13,O,,,,,,,,,X
13,O,O,,,,,,,,X
13,O,O,,,,,,,X,X
13,O,O,,,O,,,,X,X
13,O,O,,X,O,,,,X,X
13,O,O,,X,O,O,,,X,X
13,O,O,X,X,O,O,,,X,X
13,O,O,X,X,O,O,O,,X,X
14,X,,,,,,,,X,
14,X,,O,,,,,,X,
14,X,,O,,,,,,X,X
14,X,,O,,,,,O,X,X
14,X,,O,X,,,,O,X,X
14,X,,O,X,O,,,O,X,X
14,X,X,O,X,O,,,O,X,X
14,X,X,O,X,O,,O,O,X,X
14,X,X,O,X,O,X,O,O,X,X
15,O,,,,,,,X,,
15,O,,,O,,,,X,,
15,O,X,,O,,,,X,,
15,O,X,O,O,,,,X,,
15,O,X,O,O,,,,X,,X
15,O,X,O,O,,,,X,O,X
15,O,X,O,O,,,X,X,O,X
15,O,X,O,O,,O,X,X,O,X
16,X,,,,,,,,,X
16,X,O,,,,,,,,X
16,X,O,,,X,,,,,X
16,X,O,,O,X,,,,,X
16,X,O,,O,X,,,,X,X
16,X,O,,O,X,,,O,X,X
16,X,O,X,O,X,,,O,X,X
16,X,O,X,O,X,,O,O,X,X
16,X,O,X,O,X,X,O,O,X,X
17,X,,,,,X,,,,
17,X,,,O,,X,,,,
17,X,,,O,,X,X,,,
17,X,,,O,O,X,X,,,
17,X,,,O,O,X,X,X,,
17,X,O,,O,O,X,X,X,,
17,X,O,,O,O,X,X,X,X,
17,X,O,,O,O,X,X,X,X,O
17,X,O,X,O,O,X,X,X,X,O
18,X,,,,X,,,,,
18,X,,,,X,,,O,,
18,X,,,,X,,X,O,,
18,X,,O,,X,,X,O,,
18,X,,O,X,X,,X,O,,
18,X,,O,X,X,,X,O,,O
18,X,,O,X,X,X,X,O,,O
19,X,,,,,,,X,,
19,X,,O,,,,,X,,
19,X,,O,,,,X,X,,
19,X,,O,O,,,X,X,,
19,X,X,O,O,,,X,X,,
19,X,X,O,O,,,X,X,O,
19,X,X,O,O,,X,X,X,O,
19,X,X,O,O,O,X,X,X,O,
19,X,X,O,O,O,X,X,X,O,X
20,,,,,,,,,X,
20,,,,,,,,,X,O
20,,X,,,,,,,X,O
20,,X,,,O,,,,X,O
20,,X,,X,O,,,,X,O
20,,X,,X,O,O,,,X,O
20,,X,,X,O,O,X,,X,O
20,,X,O,X,O,O,X,,X,O
20,,X,O,X,O,O,X,X,X,O
21,X,,,,,X,,,,
21,X,,,,,X,,,,O
21,X,,,,,X,,X,,O
21,X,,,,,X,,X,O,O
21,X,,,X,,X,,X,O,O
22,X,,,,,X,,,,
22,X,,,,,X,O,,,
22,X,,,,,X,O,,X,
22,X,,O,,,X,O,,X,
22,X,,O,,,X,O,X,X,
22,X,,O,,O,X,O,X,X,
22,X,,O,X,O,X,O,X,X,
23,,,X,,,,,,,
23,,O,X,,,,,,,
23,,O,X,,,,,,,X
23,,O,X,,,,,,O,X
23,,O,X,,,,X,,O,X
23,,O,X,,O,,X,,O,X
23,,O,X,,O,X,X,,O,X
23,,O,X,O,O,X,X,,O,X
23,,O,X,O,O,X,X,X,O,X
24,X,X,,,,,,,,
24,X,X,,,,,O,,,
24,X,X,X,,,,O,,,
24,X,X,X,,,,O,,,O
24,X,X,X,X,,,O,,,O
25,X,X,,,,,,,,
25,X,X,,,,,,,O,
25,X,X,,,X,,,,O,
25,X,X,,,X,,,,O,O
25,X,X,,,X,X,,,O,O
25,X,X,O,,X,X,,,O,O
25,X,X,O,,X,X,X,,O,O
26,X,,,,,,,,X,
26,X,,O,,,,,,X,
26,X,,O,,,,,X,X,
26,X,,O,O,,,,X,X,
26,X,,O,O,,,,X,X,X
27,X,,,X,,,,,,
27,X,,,X,,,,,O,
27,X,,,X,X,,,,O,
27,X,,O,X,X,,,,O,
27,X,,O,X,X,,X,,O,
27,X,,O,X,X,,X,,O,O
27,X,,O,X,X,X,X,,O,O
28,,,,,,,,,X,
28,,,,,,,,O,X,
28,,X,,,,,,O,X,
28,,X,,,O,,,O,X,
28,,X,,,O,X,,O,X,
28,,X,O,,O,X,,O,X,
28,,X,O,,O,X,X,O,X,
28,,X,O,,O,X,X,O,X,O
28,,X,O,X,O,X,X,O,X,O
29,X,X,,,,,,,,
29,X,X,,,O,,,,,
29,X,X,,,O,,,,,X
29,X,X,,,O,,,,O,X
29,X,X,,X,O,,,,O,X
29,X,X,,X,O,,,O,O,X
29,X,X,,X,O,,X,O,O,X
30,O,,,,,X,,,,
30,O,,,,,X,,,,O
30,O,X,,,,X,,,,O
30,O,X,,O,,X,,,,O
30,O,X,,O,,X,,,X,O
30,O,X,,O,,X,O,,X,O
31,,,,,X,,,,,
31,,,,,X,,,,O,
31,,,,,X,,,,O,X
31,,,,O,X,,,,O,X
31,,,X,O,X,,,,O,X
31,,,X,O,X,,O,,O,X
31,,,X,O,X,X,O,,O,X
31,,O,X,O,X,X,O,,O,X
31,,O,X,O,X,X,O,X,O,X
32,O,,X,,,,,,,
32,O,,X,,,,O,,,
32,O,,X,,,,O,,X,
32,O,,X,,,O,O,,X,
32,O,,X,X,,O,O,,X,
32,O,,X,X,O,O,O,,X,
33,O,,,,,,,,,X
33,O,O,,,,,,,,X
33,O,O,X,,,,,,,X
33,O,O,X,,,,O,,,X
33,O,O,X,,,,O,X,,X
33,O,O,X,,O,,O,X,,X
33,O,O,X,X,O,,O,X,,X
33,O,O,X,X,O,O,O,X,,X
34,X,,X,,,,,,,
34,X,,X,O,,,,,,
34,X,,X,O,,X,,,,
34,X,,X,O,,X,,O,,
34,X,,X,O,X,X,,O,,
34,X,,X,O,X,X,,O,O,
34,X,X,X,O,X,X,,O,O,
34,X,X,X,O,X,X,O,O,O,
34,X,X,X,O,X,X,O,O,O,X
35,X,,,,X,,,,,
35,X,,,,X,,O,,,
35,X,X,,,X,,O,,,
35,X,X,,,X,,O,,,O
35,X,X,,,X,,O,X,,O
36,X,X,,,,,,,,
36,X,X,,,O,,,,,
36,X,X,,X,O,,,,,
36,X,X,,X,O,O,,,,
36,X,X,,X,O,O,X,,,
36,X,X,,X,O,O,X,O,,
36,X,X,,X,O,O,X,O,X,
36,X,X,O,X,O,O,X,O,X,
36,X,X,O,X,O,O,X,O,X,X
37,X,,,,,X,,,,
37,X,,,,O,X,,,,
37,X,,,,O,X,X,,,
37,X,,,O,O,X,X,,,
37,X,,,O,O,X,X,,X,
37,X,,O,O,O,X,X,,X,
37,X,,O,O,O,X,X,,X,X
37,X,,O,O,O,X,X,O,X,X
37,X,X,O,O,O,X,X,O,X,X
38,X,X,,,,,,,,
38,X,X,,,O,,,,,
38,X,X,,,O,,,,X,
38,X,X,,O,O,,,,X,
38,X,X,,O,O,X,,,X,
38,X,X,,O,O,X,,O,X,
38,X,X,X,O,O,X,,O,X,
39,X,,,,,,,X,,
39,X,,,,,,O,X,,
39,X,,,,X,,O,X,,
39,X,,,,X,,O,X,,O
39,X,,,,X,X,O,X,,O
39,X,,,,X,X,O,X,O,O
39,X,,X,,X,X,O,X,O,O
39,X,O,X,,X,X,O,X,O,O
39,X,O,X,X,X,X,O,X,O,O
40,X,X,,,,,,,,
40,X,X,,,,,,,O,
40,X,X,,,,,,,O,X
40,X,X,,O,,,,,O,X
40,X,X,,O,,,,X,O,X
40,X,X,,O,,,O,X,O,X
40,X,X,,O,,X,O,X,O,X
41,O,,,,,,,X,,
41,O,,,,O,,,X,,
41,O,,,,O,,X,X,,
41,O,,,O,O,,X,X,,
41,O,,,O,O,X,X,X,,
41,O,O,,O,O,X,X,X,,
41,O,O,,O,O,X,X,X,,X
41,O,O,O,O,O,X,X,X,,X
42,X,,X,,,,,,,
42,X,,X,,,,,,O,
42,X,,X,,,,X,,O,
42,X,,X,,,O,X,,O,
42,X,,X,,X,O,X,,O,
42,X,,X,,X,O,X,O,O,
42,X,,X,,X,O,X,O,O,X
42,X,O,X,,X,O,X,O,O,X
42,X,O,X,X,X,O,X,O,O,X
43,O,,,,X,,,,,
43,O,,,,X,,,,,O
43,O,,,,X,,,,X,O
43,O,,,O,X,,,,X,O
43,O,,,O,X,X,,,X,O
43,O,,O,O,X,X,,,X,O
43,O,,O,O,X,X,,X,X,O
43,O,O,O,O,X,X,,X,X,O
44,X,,,,,,,,,X
44,X,,,,,,,O,,X
44,X,,,,X,,,O,,X
44,X,,,O,X,,,O,,X
44,X,,,O,X,,X,O,,X
44,X,,O,O,X,,X,O,,X
44,X,,O,O,X,X,X,O,,X
45,O,,X,,,,,,,
45,O,,X,,,,,,O,
45,O,,X,,,X,,,O,
45,O,O,X,,,X,,,O,
45,O,O,X,X,,X,,,O,
45,O,O,X,X,,X,,O,O,
45,O,O,X,X,,X,X,O,O,
45,O,O,X,X,,X,X,O,O,O
46,X,,,,,,X,,,
46,X,,,,,O,X,,,
46,X,,,,,O,X,X,,
46,X,O,,,,O,X,X,,
46,X,O,,,,O,X,X,,X
46,X,O,,,O,O,X,X,,X
46,X,O,X,,O,O,X,X,,X
46,X,O,X,O,O,O,X,X,,X
46,X,O,X,O,O,O,X,X,X,X
47,O,,,,,,X,,,
47,O,,,,,O,X,,,
47,O,,,,X,O,X,,,
47,O,O,,,X,O,X,,,
47,O,O,,X,X,O,X,,,
47,O,O,O,X,X,O,X,,,
47,O,O,O,X,X,O,X,X,,
47,O,O,O,X,X,O,X,X,O,
48,X,,X,,,,,,,
48,X,,X,,,,O,,,
48,X,,X,,X,,O,,,
48,X,,X,,X,O,O,,,
48,X,,X,X,X,O,O,,,
48,X,,X,X,X,O,O,O,,
48,X,X,X,X,X,O,O,O,,
49,X,,,,,,X,,,
49,X,,,,O,,X,,,
49,X,X,,,O,,X,,,
49,X,X,,,O,,X,O,,
49,X,X,,X,O,,X,O,,
49,X,X,O,X,O,,X,O,,
49,X,X,O,X,O,,X,O,,X
50,O,,,,,,,,X,
50,O,,,,,O,,,X,
50,O,,,,X,O,,,X,
50,O,O,,,X,O,,,X,
50,O,O,,,X,O,X,,X,
50,O,O,,O,X,O,X,,X,
50,O,O,X,O,X,O,X,,X,
50,O,O,X,O,X,O,X,,X,O
51,O,,,,,,,,,X
51,O,,,,O,,,,,X
51,O,X,,,O,,,,,X
51,O,X,,,O,,O,,,X
51,O,X,,,O,,O,,X,X
51,O,X,,,O,O,O,,X,X
52,,,,,,X,,,,
52,,O,,,,X,,,,
52,,O,,,,X,,,,X
52,,O,,,,X,O,,,X
52,,O,,X,,X,O,,,X
52,,O,,X,,X,O,O,,X
52,,O,,X,X,X,O,O,,X
52,,O,,X,X,X,O,O,O,X
52,,O,X,X,X,X,O,O,O,X
53,X,,,,X,,,,,
53,X,O,,,X,,,,,
53,X,O,X,,X,,,,,
53,X,O,X,,X,,,,,O
53,X,O,X,X,X,,,,,O
53,X,O,X,X,X,,O,,,O
53,X,O,X,X,X,,O,,X,O
53,X,O,X,X,X,,O,O,X,O
53,X,O,X,X,X,X,O,O,X,O
54,X,,,,,X,,,,
54,X,,,O,,X,,,,
54,X,,X,O,,X,,,,
54,X,O,X,O,,X,,,,
54,X,O,X,O,,X,,,X,
55,X,,X,,,,,,,
55,X,,X,,O,,,,,
55,X,,X,,O,X,,,,
55,X,,X,O,O,X,,,,
55,X,,X,O,O,X,X,,,
55,X,,X,O,O,X,X,O,,
55,X,,X,O,O,X,X,O,X,
56,,,,,,X,,,,
56,,,O,,,X,,,,
56,,,O,,,X,,,X,
56,,,O,O,,X,,,X,
56,,X,O,O,,X,,,X,
56,,X,O,O,O,X,,,X,
56,,X,O,O,O,X,X,,X,
56,,X,O,O,O,X,X,,X,O
56,,X,O,O,O,X,X,X,X,O
57,X,,,,X,,,,,
57,X,O,,,X,,,,,
57,X,O,,,X,,X,,,
57,X,O,,,X,,X,,,O
57,X,O,X,,X,,X,,,O
57,X,O,X,O,X,,X,,,O
57,X,O,X,O,X,,X,X,,O
57,X,O,X,O,X,,X,X,O,O
57,X,O,X,O,X,X,X,X,O,O
58,O,,,,,,,,X,
58,O,,,,,,,O,X,
58,O,,,,X,,,O,X,
58,O,,,,X,O,,O,X,
58,O,,,X,X,O,,O,X,
58,O,O,,X,X,O,,O,X,
58,O,O,,X,X,O,X,O,X,
58,O,O,,X,X,O,X,O,X,O
59,O,,X,,,,,,,
59,O,,X,,,,,,,O
59,O,,X,,X,,,,,O
59,O,,X,O,X,,,,,O
59,O,,X,O,X,X,,,,O
59,O,,X,O,X,X,O,,,O
60,,,,,X,,,,,
60,,,,,X,,,O,,
60,,,,,X,,,O,X,
60,,O,,,X,,,O,X,
60,,O,X,,X,,,O,X,
60,,O,X,,X,,O,O,X,
60,,O,X,,X,,O,O,X,X
60,,O,X,,X,O,O,O,X,X
60,,O,X,X,X,O,O,O,X,X
61,X,,,,X,,,,,
61,X,,,,X,,,,O,
61,X,,,,X,X,,,O,
61,X,O,,,X,X,,,O,
61,X,O,X,,X,X,,,O,
61,X,O,X,,X,X,,,O,O
61,X,O,X,,X,X,,X,O,O
61,X,O,X,O,X,X,,X,O,O
61,X,O,X,O,X,X,X,X,O,O
62,X,,,X,,,,,,
62,X,O,,X,,,,,,
62,X,O,,X,,,,X,,
62,X,O,,X,,,,X,,O
62,X,O,,X,,X,,X,,O
63,X,,,,,X,,,,
63,X,,,,,X,,,,O
63,X,,,,X,X,,,,O
63,X,,,,X,X,,,O,O
63,X,,,,X,X,,X,O,O
63,X,,,,X,X,O,X,O,O
63,X,X,,,X,X,O,X,O,O
64,,,,,X,,,,,
64,,,,,X,,O,,,
64,,X,,,X,,O,,,
64,,X,,,X,,O,O,,
64,,X,,,X,X,O,O,,
64,,X,O,,X,X,O,O,,
64,,X,O,X,X,X,O,O,,
64,,X,O,X,X,X,O,O,,O
64,,X,O,X,X,X,O,O,X,O
65,X,,,,,X,,,,
65,X,,,,O,X,,,,
65,X,X,,,O,X,,,,
65,X,X,,,O,X,O,,,
