Game,Winner,0,1,2,3,4,5,6,7,8
0,,,,,,X,,,,
0,,,,O,,X,,,,
0,,,,O,,X,,,,X
0,,O,,O,,X,,,,X
0,,O,,O,X,X,,,,X
0,,O,,O,X,X,,,O,X
0,,O,,O,X,X,,X,O,X
0,,O,,O,X,X,O,X,O,X
0,,O,X,O,X,X,O,X,O,X
1,X,,,,,,,,,X
1,X,,,,,O,,,,X
1,X,,,,X,O,,,,X
1,X,,O,,X,O,,,,X
1,X,,O,,X,O,,,X,X
1,X,O,O,,X,O,,,X,X
1,X,O,O,X,X,O,,,X,X
1,X,O,O,X,X,O,O,,X,X
1,X,O,O,X,X,O,O,X,X,X
2,O,,,,,,,,,X
2,O,,,,,O,,,,X
2,O,X,,,,O,,,,X
2,O,X,,,,O,,,O,X
2,O,X,,,X,O,,,O,X
2,O,X,O,,X,O,,,O,X
3,X,,,,,,,,,X
3,X,,,,,O,,,,X
3,X,X,,,,O,,,,X
3,X,X,,,,O,O,,,X
3,X,X,,,,O,O,X,,X
3,X,X,,O,,O,O,X,,X
3,X,X,,O,X,O,O,X,,X
4,O,,,,,,,,,X
4,O,,,,,O,,,,X
4,O,X,,,,O,,,,X
4,O,X,,,,O,,,O,X
4,O,X,,,,O,X,,O,X
4,O,X,O,,,O,X,,O,X
5,O,,,,,,,,,X
5,O,,,,,O,,,,X
5,O,X,,,,O,,,,X
5,O,X,,,,O,,,O,X
5,O,X,,,,O,X,,O,X
5,O,X,O,,,O,X,,O,X
6,O,,,,,,,,,X
6,O,,,,,O,,,,X
6,O,X,,,,O,,,,X
6,O,X,,,,O,,,O,X
6,O,X,,,,O,X,,O,X
6,O,X,O,,,O,X,,O,X
7,X,,,,,,,X,,
7,X,,,,,O,,X,,
7,X,,,,,O,,X,,X
7,X,,,,O,O,,X,,X
7,X,X,,,O,O,,X,,X
7,X,X,,O,O,O,,X,,X
7,X,X,,O,O,O,X,X,,X
7,X,X,O,O,O,O,X,X,,X
7,X,X,O,O,O,O,X,X,X,X
8,O,,,,,,,,,X
8,O,,,,,,,,O,X
8,O,X,,,,,,,O,X
8,O,X,,,,O,,,O,X
8,O,X,,,,O,X,,O,X
8,O,X,O,,,O,X,,O,X
9,O,,X,,,,,,,
9,O,,X,,,O,,,,
9,O,,X,,,O,,,,X
9,O,,X,,O,O,,,,X
9,O,,X,,O,O,,,X,X
9,O,,X,,O,O,O,,X,X
10,X,,,,,,,,,X
10,X,,,,,O,,,,X
10,X,X,,,,O,,,,X
10,X,X,,,,O,,,O,X
10,X,X,,,,O,X,,O,X
10,X,X,,,O,O,X,,O,X
10,X,X,,X,O,O,X,,O,X
11,O,,,,,,,,X,
11,O,O,,,,,,,X,
11,O,O,X,,,,,,X,
11,O,O,X,,,O,,,X,
11,O,O,X,,X,O,,,X,
11,O,O,X,,X,O,,O,X,
11,O,O,X,,X,O,X,O,X,
11,O,O,X,,X,O,X,O,X,O
12,O,,,,,,,,,X
12,O,,,,,,O,,,X
12,O,X,,,,,O,,,X
12,O,X,,,,O,O,,,X
12,O,X,,,,O,O,X,,X
12,O,X,,,O,O,O,X,,X
13,O,,,,,,,,,X
13,O,,,,,O,,,,X
13,O,X,,,,O,,,,X
13,O,X,,,,O,,O,,X
13,O,X,,,,O,X,O,,X
13,O,X,,O,,O,X,O,,X
14,X,,,,,,,,,X
14,X,,,,,O,,,,X
14,X,X,,,,O,,,,X
14,X,X,,O,,O,,,,X
14,X,X,,O,,O,X,,,X
14,X,X,O,O,,O,X,,,X
14,X,X,O,O,,O,X,X,,X
14,X,X,O,O,O,O,X,X,,X
14,X,X,O,O,O,O,X,X,X,X
15,X,,,,,X,,,,
15,X,,,O,,X,,,,
15,X,,X,O,,X,,,,
15,X,O,X,O,,X,,,,
15,X,O,X,O,X,X,,,,
15,X,O,X,O,X,X,O,,,
15,X,O,X,O,X,X,O,,X,
16,O,,,,,,,,X,
16,O,O,,,,,,,X,
16,O,O,X,,,,,,X,
16,O,O,X,,,O,,,X,
16,O,O,X,X,,O,,,X,
16,O,O,X,X,O,O,,,X,
16,O,O,X,X,O,O,X,,X,
16,O,O,X,X,O,O,X,O,X,
17,O,,,,,,,,,X
17,O,,,,,O,,,,X
17,O,X,,,,O,,,,X
17,O,X,,,,O,,,O,X
17,O,X,,,,O,X,,O,X
17,O,X,O,,,O,X,,O,X
18,,,,,,,,,,X
18,,,,,,O,,,,X
18,,,,,,O,,X,,X
18,,,,O,,O,,X,,X
18,,X,,O,,O,,X,,X
18,,X,,O,,O,,X,O,X
18,,X,X,O,,O,,X,O,X
18,,X,X,O,O,O,,X,O,X
18,,X,X,O,O,O,X,X,O,X
19,O,,,,,,,,,X
19,O,,,,,O,,,,X
19,O,X,,,,O,,,,X
19,O,X,,,,O,,,O,X
19,O,X,,,,O,X,,O,X
19,O,X,O,,,O,X,,O,X
20,O,,,,,,,,,X
