Game,Winner,0,1,2,3,4,5,6,7,8
0,O,,,,,X,,,,
0,O,,,,,X,,,,O
0,O,,X,,,X,,,,O
0,O,,X,,,X,,O,,O
0,O,,X,X,,X,,O,,O
0,O,,X,X,,X,O,O,,O
0,O,,X,X,X,X,O,O,,O
0,O,,X,X,X,X,O,O,O,O
1,X,,,,,X,,,,
1,X,,O,,,X,,,,
1,X,,O,,,X,,,,X
1,X,,O,,O,X,,,,X
1,X,,O,X,O,X,,,,X
1,X,,O,X,O,X,,,O,X
1,X,X,O,X,O,X,,,O,X
2,X,,,,,X,,,,
2,X,,,,,X,,O,,
2,X,,,X,,X,,O,,
2,X,,,X,,X,O,O,,
2,X,X,,X,,X,O,O,,
2,X,X,,X,,X,O,O,O,
2,X,X,,X,,X,O,O,O,X
3,,,,,,X,,,,
3,,,,,,X,O,,,
3,,,,X,,X,O,,,
3,,,O,X,,X,O,,,
3,,,O,X,,X,O,,,X
3,,O,O,X,,X,O,,,X
3,,O,O,X,X,X,O,,,X
3,,O,O,X,X,X,O,O,,X
3,,O,O,X,X,X,O,O,X,X
4,O,,,,,X,,,,
4,O,,,,O,X,,,,
4,O,,,X,O,X,,,,
4,O,O,,X,O,X,,,,
4,O,O,,X,O,X,,,X,
4,O,O,,X,O,X,,O,X,
5,O,,,,,X,,,,
5,O,,,,,X,,,O,
5,O,X,,,,X,,,O,
5,O,X,O,,,X,,,O,
5,O,X,O,X,,X,,,O,
5,O,X,O,X,,X,,,O,O
5,O,X,O,X,,X,X,,O,O
5,O,X,O,X,,X,X,O,O,O
6,X,,,,,X,,,,
6,X,,,,,X,,,O,
6,X,X,,,,X,,,O,
6,X,X,,,,X,,,O,O
6,X,X,X,,,X,,,O,O
6,X,X,X,,,X,O,,O,O
6,X,X,X,X,,X,O,,O,O
7,X,,,,,X,,,,
7,X,,,O,,X,,,,
7,X,,,O,,X,X,,,
7,X,,O,O,,X,X,,,
7,X,,O,O,,X,X,,,X
7,X,,O,O,O,X,X,,,X
7,X,X,O,O,O,X,X,,,X
8,X,,,,,X,,,,
8,X,,,,O,X,,,,
8,X,,,X,O,X,,,,
8,X,,,X,O,X,O,,,
8,X,X,,X,O,X,O,,,
8,X,X,,X,O,X,O,O,,
8,X,X,X,X,O,X,O,O,,
9,X,,,,,X,,,,
9,X,,,,,X,,,,O
9,X,,X,,,X,,,,O
9,X,O,X,,,X,,,,O
9,X,O,X,,X,X,,,,O
9,X,O,X,,X,X,,,O,O
9,X,O,X,X,X,X,,,O,O
9,X,O,X,X,X,X,O,,O,O
9,X,O,X,X,X,X,O,X,O,O
10,X,,,,,X,,,,
10,X,,,,,X,O,,,
10,X,,,X,,X,O,,,
10,X,,,X,,X,O,,,O
10,X,,X,X,,X,O,,,O
10,X,,X,X,O,X,O,,,O
10,X,X,X,X,O,X,O,,,O
11,X,,,,,X,,,,
11,X,,O,,,X,,,,
11,X,,O,,,X,,,,X
11,X,,O,,,X,O,,,X
11,X,,O,X,,X,O,,,X
11,X,,O,X,O,X,O,,,X
11,X,X,O,X,O,X,O,,,X
12,X,,,,,X,,,,
12,X,,,O,,X,,,,
12,X,,,O,,X,X,,,
12,X,O,,O,,X,X,,,
12,X,O,,O,X,X,X,,,
13,X,,,,,X,,,,
13,X,,O,,,X,,,,
13,X,,O,,,X,,,,X
13,X,,O,,,X,,,O,X
13,X,,O,X,,X,,,O,X
13,X,O,O,X,,X,,,O,X
13,X,O,O,X,X,X,,,O,X
13,X,O,O,X,X,X,,O,O,X
13,X,O,O,X,X,X,X,O,O,X
14,X,,,,,X,,,,
14,X,,,,,X,O,,,
14,X,,,X,,X,O,,,
14,X,,,X,O,X,O,,,
14,X,X,,X,O,X,O,,,
14,X,X,O,X,O,X,O,,,
14,X,X,O,X,O,X,O,,,X
15,X,,,,,X,,,,
15,X,,,,,X,,,,O
15,X,,X,,,X,,,,O
15,X,,X,,,X,O,,,O
15,X,,X,X,,X,O,,,O
15,X,,X,X,,X,O,,O,O
15,X,X,X,X,,X,O,,O,O
16,O,,,,,X,,,,
16,O,,,O,,X,,,,
16,O,,,O,,X,X,,,
16,O,,,O,,X,X,O,,
16,O,,,O,,X,X,O,,X
16,O,O,,O,,X,X,O,,X
16,O,O,,O,,X,X,O,X,X
16,O,O,O,O,,X,X,O,X,X
17,,,,,,X,,,,
17,,O,,,,X,,,,
17,,O,,,X,X,,,,
17,,O,O,,X,X,,,,
17,,O,O,,X,X,,,,X
17,,O,O,,X,X,,O,,X
17,,O,O,X,X,X,,O,,X
17,,O,O,X,X,X,O,O,,X
17,,O,O,X,X,X,O,O,X,X
18,X,,,,,X,,,,
18,X,,,,,X,,,O,
18,X,X,,,,X,,,O,
18,X,X,,,,X,,,O,O
18,X,X,X,,,X,,,O,O
18,X,X,X,,O,X,,,O,O
18,X,X,X,X,O,X,,,O,O
19,O,,,,,X,,,,
19,O,,O,,,X,,,,
19,O,,O,,,X,,,,X
19,O,O,O,,,X,,,,X
19,O,O,O,,,X,,,X,X
19,O,O,O,O,,X,,,X,X
20,X,,,,,X,,,,
20,X,,,,,X,,,,O
20,X,,X,,,X,,,,O
20,X,,X,,,X,O,,,O
