Game,Winner,0,1,2,3,4,5,6,7,8
0,X,,,,,X,,,,
0,X,,,,,X,,,,O
0,X,,X,,,X,,,,O
0,X,O,X,,,X,,,,O
0,X,O,X,,X,X,,,,O
0,X,O,X,,X,X,,O,,O
0,X,O,X,X,X,X,,O,,O
0,X,O,X,X,X,X,O,O,,O
0,X,O,X,X,X,X,O,O,X,O
1,X,,,X,,,,,,
1,X,,,X,,,,,O,
1,X,,,X,,X,,,O,
1,X,,,X,,X,,,O,O
1,X,,,X,,X,X,,O,O
1,X,,O,X,,X,X,,O,O
1,X,X,O,X,,X,X,,O,O
1,X,X,O,X,O,X,X,,O,O
1,X,X,O,X,O,X,X,X,O,O
2,X,,,,,X,,,,
2,X,,,,,X,,,O,
2,X,X,,,,X,,,O,
2,X,X,,,,X,O,,O,
2,X,X,,,,X,O,X,O,
2,X,X,,O,,X,O,X,O,
2,X,X,,O,X,X,O,X,O,
3,X,X,,,,,,,,
3,X,X,,,,,,O,,
3,X,X,,,,X,,O,,
3,X,X,,,,X,O,O,,
3,X,X,X,,,X,O,O,,
3,X,X,X,,,X,O,O,O,
3,X,X,X,X,,X,O,O,O,
4,O,,,,,X,,,,
4,O,,,,,X,,,O,
4,O,,,X,,X,,,O,
4,O,,,X,,X,O,,O,
4,O,,,X,X,X,O,,O,
4,O,,,X,X,X,O,O,O,
4,O,X,,X,X,X,O,O,O,
4,O,X,,X,X,X,O,O,O,O
5,X,,,,,X,,,,
5,X,,O,,,X,,,,
5,X,,O,,,X,,,,X
5,X,,O,,O,X,,,,X
5,X,,O,,O,X,X,,,X
5,X,,O,,O,X,X,O,,X
5,X,X,O,,O,X,X,O,,X
6,X,,,X,,,,,,
6,X,,,X,,,O,,,
6,X,,,X,,X,O,,,
6,X,,,X,,X,O,,O,
6,X,X,,X,,X,O,,O,
6,X,X,,X,,X,O,,O,O
6,X,X,,X,,X,O,X,O,O
7,X,,,,,X,,,,
7,X,,,,,X,,,O,
7,X,X,,,,X,,,O,
7,X,X,,O,,X,,,O,
7,X,X,,O,,X,,,O,X
8,O,,,X,,,,,,
8,O,,O,X,,,,,,
8,O,,O,X,,X,,,,
8,O,,O,X,,X,,,O,
8,O,X,O,X,,X,,,O,
8,O,X,O,X,,X,,,O,O
8,O,X,O,X,,X,X,,O,O
8,O,X,O,X,,X,X,O,O,O
9,X,,,,,X,,,,
9,X,,,,,X,,,O,
9,X,X,,,,X,,,O,
9,X,X,,,,X,,,O,O
9,X,X,,X,,X,,,O,O
9,X,X,O,X,,X,,,O,O
9,X,X,O,X,,X,X,,O,O
9,X,X,O,X,O,X,X,,O,O
9,X,X,O,X,O,X,X,X,O,O
10,X,,,,,X,,,,
10,X,,,O,,X,,,,
10,X,,,O,,X,,,,X
10,X,,,O,,X,O,,,X
10,X,X,,O,,X,O,,,X
11,X,,,,,X,,,,
11,X,,,,,X,,O,,
11,X,,,,,X,,O,,X
11,X,,,O,,X,,O,,X
11,X,X,,O,,X,,O,,X
12,X,,,,,X,,,,
12,X,O,,,,X,,,,
12,X,O,,,X,X,,,,
12,X,O,O,,X,X,,,,
12,X,O,O,X,X,X,,,,
12,X,O,O,X,X,X,,,,O
12,X,O,O,X,X,X,X,,,O
13,X,,,,,X,,,,
13,X,,,,O,X,,,,
13,X,,,,O,X,,X,,
13,X,,,,O,X,,X,,O
13,X,,,X,O,X,,X,,O
14,X,,,,,X,,,,
14,X,,,,,X,,,O,
14,X,,,,,X,X,,O,
14,X,O,,,,X,X,,O,
14,X,O,,,X,X,X,,O,
15,X,,,,,X,,,,
15,X,,,,O,X,,,,
15,X,,,,O,X,,,,X
15,X,,,,O,X,,O,,X
15,X,X,,,O,X,,O,,X
16,X,,,X,,,,,,
16,X,,,X,,,,O,,
16,X,,,X,,X,,O,,
16,X,,,X,O,X,,O,,
16,X,X,,X,O,X,,O,,
16,X,X,O,X,O,X,,O,,
16,X,X,O,X,O,X,X,O,,
16,X,X,O,X,O,X,X,O,O,
16,X,X,O,X,O,X,X,O,O,X
17,O,X,,,,,,,,
17,O,X,O,,,,,,,
17,O,X,O,,,,,X,,
17,O,X,O,O,,,,X,,
17,O,X,O,O,,,,X,X,
17,O,X,O,O,,,O,X,X,
17,O,X,O,O,,X,O,X,X,
17,O,X,O,O,,X,O,X,X,O
18,X,,,X,,,,,,
18,X,,,X,,,,,O,
18,X,X,,X,,,,,O,
18,X,X,,X,O,,,,O,
18,X,X,,X,O,X,,,O,
18,X,X,,X,O,X,O,,O,
18,X,X,,X,O,X,O,,O,X
19,X,,,,,X,,,,
19,X,,,,O,X,,,,
19,X,,,X,O,X,,,,
19,X,,,X,O,X,,O,,
19,X,,,X,O,X,X,O,,
19,X,,O,X,O,X,X,O,,
19,X,X,O,X,O,X,X,O,,
19,X,X,O,X,O,X,X,O,O,
19,X,X,O,X,O,X,X,O,O,X
20,X,,,,,X,,,,
20,X,,,,O,X,,,,
20,X,,,,O,X,,,,X
20,X,,,,O,X,O,,,X
20,X,,,X,O,X,O,,,X
20,X,,,X,O,X,O,,O,X
20,X,X,,X,O,X,O,,O,X
21,X,,,X,,,,,,
21,X,O,,X,,,,,,
21,X,O,,X,X,,,,,
21,X,O,,X,X,,,,O,
21,X,O,,X,X,X,,,O,
21,X,O,,X,X,X,,O,O,
21,X,O,,X,X,X,X,O,O,
22,X,,,,,X,,,,
22,X,,,,O,X,,,,
22,X,,,X,O,X,,,,
22,X,,,X,O,X,,,O,
22,X,,,X,O,X,X,,O,
22,X,O,,X,O,X,X,,O,
22,X,O,,X,O,X,X,X,O,
23,O,,,,,X,,,,
23,O,,,,,X,O,,,
23,O,,,X,,X,O,,,
23,O,,,X,,X,O,O,,
23,O,X,,X,,X,O,O,,
23,O,X,,X,,X,O,O,O,
23,O,X,,X,X,X,O,O,O,
23,O,X,,X,X,X,O,O,O,O
24,O,,,,,X,,,,
24,O,,,O,,X,,,,
24,O,,,O,,X,X,,,
24,O,,,O,,X,X,O,,
24,O,,X,O,,X,X,O,,
24,O,,X,O,,X,X,O,O,
24,O,X,X,O,,X,X,O,O,
24,O,X,X,O,,X,X,O,O,O
25,X,X,,,,,,,,
25,X,X,,,,,O,,,
25,X,X,,,X,,O,,,
25,X,X,,,X,O,O,,,
25,X,X,X,,X,O,O,,,
25,X,X,X,,X,O,O,O,,
25,X,X,X,X,X,O,O,O,,
26,X,,,,,X,,,,
26,X,,O,,,X,,,,
26,X,,O,,,X,,,,X
26,X,,O,,O,X,,,,X
26,X,X,O,,O,X,,,,X
27,X,,,X,,,,,,
27,X,,,X,,O,,,,
27,X,,X,X,,O,,,,
27,X,,X,X,O,O,,,,
27,X,X,X,X,O,O,,,,
28,X,,,,,X,,,,
28,X,,,,,X,O,,,
28,X,,,X,,X,O,,,
28,X,,O,X,,X,O,,,
28,X,,O,X,,X,O,,,X
28,X,,O,X,O,X,O,,,X
28,X,,O,X,O,X,O,X,,X
29,X,,,X,,,,,,
29,X,,,X,,,,,,O
29,X,,,X,,X,,,,O
29,X,,O,X,,X,,,,O
29,X,,O,X,,X,X,,,O
29,X,,O,X,,X,X,O,,O
29,X,,O,X,X,X,X,O,,O
30,X,,,,,X,,,,
30,X,,O,,,X,,,,
30,X,,O,,,X,,,,X
30,X,O,O,,,X,,,,X
30,X,O,O,X,,X,,,,X
30,X,O,O,X,,X,,,O,X
30,X,O,O,X,X,X,,,O,X
30,X,O,O,X,X,X,,O,O,X
30,X,O,O,X,X,X,X,O,O,X
31,X,,,,,X,,,,
31,X,,,,,X,,,O,
31,X,,,X,,X,,,O,
31,X,,O,X,,X,,,O,
31,X,X,O,X,,X,,,O,
31,X,X,O,X,,X,O,,O,
31,X,X,O,X,,X,O,,O,X
32,X,,,X,,,,,,
32,X,O,,X,,,,,,
32,X,O,,X,,,X,,,
32,X,O,,X,,,X,O,,
32,X,O,,X,,X,X,O,,
32,X,O,,X,,X,X,O,O,
32,X,O,,X,X,X,X,O,O,
33,X,,,,,X,,,,
33,X,O,,,,X,,,,
33,X,O,,,X,X,,,,
33,X,O,,,X,X,,,,O
33,X,O,X,,X,X,,,,O
33,X,O,X,,X,X,,,O,O
33,X,O,X,,X,X,X,,O,O
34,,,,,,X,,,,
34,,,O,,,X,,,,
34,,,O,,,X,,,,X
34,,O,O,,,X,,,,X
34,,O,O,,,X,,,X,X
34,,O,O,,,X,O,,X,X
34,,O,O,,X,X,O,,X,X
34,,O,O,,X,X,O,O,X,X
34,,O,O,X,X,X,O,O,X,X
35,O,,,,,X,,,,
35,O,,,,,X,,O,,
35,O,,,X,,X,,O,,
35,O,O,,X,,X,,O,,
35,O,O,,X,,X,,O,X,
35,O,O,,X,O,X,,O,X,
36,X,,,,,X,,,,
36,X,,,O,,X,,,,
36,X,,,O,,X,,,,X
36,X,,,O,O,X,,,,X
36,X,X,,O,O,X,,,,X
37,X,,,,,X,,,,
37,X,O,,,,X,,,,
37,X,O,,,X,X,,,,
37,X,O,,O,X,X,,,,
37,X,O,,O,X,X,X,,,
38,X,,,,,X,,,,
38,X,,,,,X,,,,O
38,X,,X,,,X,,,,O
38,X,O,X,,,X,,,,O
38,X,O,X,,X,X,,,,O
38,X,O,X,,X,X,,O,,O
38,X,O,X,,X,X,X,O,,O
39,X,,,,,X,,,,
39,X,,O,,,X,,,,
39,X,,O,,,X,,,,X
39,X,,O,,,X,,O,,X
39,X,,O,,,X,X,O,,X
39,X,,O,O,,X,X,O,,X
39,X,X,O,O,,X,X,O,,X
40,X,,,,,X,,,,
40,X,O,,,,X,,,,
40,X,O,,X,,X,,,,
40,X,O,,X,,X,,O,,
40,X,O,,X,X,X,,O,,
40,X,O,,X,X,X,,O,O,
40,X,O,,X,X,X,X,O,O,
41,O,,,,,X,,,,
41,O,O,,,,X,,,,
41,O,O,,,X,X,,,,
41,O,O,O,,X,X,,,,
41,O,O,O,,X,X,,,,X
41,O,O,O,O,X,X,,,,X
42,X,,,,,X,,,,
42,X,,,,,X,,,O,
42,X,X,,,,X,,,O,
42,X,X,,,O,X,,,O,
42,X,X,,X,O,X,,,O,
42,X,X,,X,O,X,O,,O,
42,X,X,,X,O,X,O,,O,X
43,X,,,X,,,,,,
43,X,,,X,,,,O,,
43,X,,,X,,X,,O,,
43,X,,,X,,X,,O,,O
43,X,,X,X,,X,,O,,O
43,X,,X,X,O,X,,O,,O
43,X,X,X,X,O,X,,O,,O
44,X,,,,,X,,,,
44,X,,,,,X,,,,O
44,X,,X,,,X,,,,O
44,X,O,X,,,X,,,,O
44,X,O,X,,X,X,,,,O
44,X,O,X,,X,X,,,O,O
44,X,O,X,,X,X,X,,O,O
45,X,,,,,X,,,,
45,X,,,,,X,,O,,
45,X,,,,,X,,O,,X
45,X,,,,,X,,O,O,X
45,X,X,,,,X,,O,O,X
46,X,,,,,X,,,,
46,X,,,,O,X,,,,
46,X,,,,O,X,,X,,
46,X,,,,O,X,O,X,,
46,X,X,,,O,X,O,X,,
46,X,X,,O,O,X,O,X,,
46,X,X,X,O,O,X,O,X,,
46,X,X,X,O,O,X,O,X,O,
46,X,X,X,O,O,X,O,X,O,X
47,X,,,,,X,,,,
47,X,,O,,,X,,,,
47,X,,O,,,X,,,,X
47,X,,O,,,X,,,O,X
47,X,,O,,,X,X,,O,X
47,X,,O,,,X,X,O,O,X
47,X,,O,,X,X,X,O,O,X
48,X,,,,,X,,,,
48,X,,O,,,X,,,,
48,X,,O,,,X,,,,X
48,X,,O,,,X,,O,,X
48,X,,O,,,X,X,O,,X
48,X,,O,,,X,X,O,O,X
48,X,,O,X,,X,X,O,O,X
49,O,,,,,X,,,,
49,O,,,,O,X,,,,
49,O,,,,O,X,X,,,
49,O,,,,O,X,X,O,,
49,O,X,,,O,X,X,O,,
49,O,X,,,O,X,X,O,,O
49,O,X,X,,O,X,X,O,,O
49,O,X,X,,O,X,X,O,O,O
50,,,,,,X,,,,
50,,,,,,X,,,,O
50,,,X,,,X,,,,O
50,,,X,O,,X,,,,O
50,,,X,O,,X,X,,,O
50,,,X,O,O,X,X,,,O
50,,X,X,O,O,X,X,,,O
50,,X,X,O,O,X,X,,O,O
50,,X,X,O,O,X,X,X,O,O
51,X,,,,,X,,,,
51,X,O,,,,X,,,,
51,X,O,,,X,X,,,,
51,X,O,,,X,X,,O,,
51,X,O,,X,X,X,,O,,
51,X,O,,X,X,X,,O,O,
51,X,O,,X,X,X,X,O,O,
52,X,,,,,X,,,,
52,X,,,,O,X,,,,
52,X,,,,O,X,,,,X
52,X,,,,O,X,,,O,X
52,X,X,,,O,X,,,O,X
53,X,,,,,X,,,,
53,X,,O,,,X,,,,
53,X,,O,,,X,,,,X
53,X,,O,,O,X,,,,X
53,X,X,O,,O,X,,,,X
54,X,,,,,X,,,,
54,X,,,O,,X,,,,
54,X,,X,O,,X,,,,
54,X,,X,O,,X,,O,,
54,X,,X,O,,X,X,O,,
54,X,,X,O,,X,X,O,O,
54,X,X,X,O,,X,X,O,O,
54,X,X,X,O,O,X,X,O,O,
54,X,X,X,O,O,X,X,O,O,X
55,X,,,,,X,,,,
55,X,,,,O,X,,,,
55,X,,,X,O,X,,,,
55,X,,,X,O,X,O,,,
55,X,,,X,O,X,O,,,X
55,X,,O,X,O,X,O,,,X
55,X,X,O,X,O,X,O,,,X
56,X,,,X,,,,,,
56,X,,,X,,,,,,O
56,X,,,X,,X,,,,O
56,X,,O,X,,X,,,,O
56,X,,O,X,,X,X,,,O
56,X,,O,X,,X,X,O,,O
56,X,,O,X,X,X,X,O,,O
57,O,,,,,X,,,,
57,O,,,,,X,O,,,
57,O,,,X,,X,O,,,
57,O,,,X,,X,O,,,O
57,O,,X,X,,X,O,,,O
57,O,,X,X,,X,O,,O,O
57,O,,X,X,X,X,O,,O,O
57,O,,X,X,X,X,O,O,O,O
58,O,,,X,,,,,,
58,O,,,X,,,O,,,
58,O,,,X,,X,O,,,
58,O,,,X,,X,O,,O,
58,O,,,X,X,X,O,,O,
58,O,,,X,X,X,O,O,O,
58,O,X,,X,X,X,O,O,O,
58,O,X,,X,X,X,O,O,O,O
59,,,,X,,,,,,
59,,,,X,,O,,,,
59,,,X,X,,O,,,,
59,,,X,X,,O,,,O,
59,,,X,X,,O,,X,O,
59,,,X,X,,O,O,X,O,
59,,,X,X,X,O,O,X,O,
59,,O,X,X,X,O,O,X,O,
59,,O,X,X,X,O,O,X,O,X
60,X,,,,,X,,,,
60,X,O,,,,X,,,,
60,X,O,,,,X,X,,,
60,X,O,,,,X,X,,,O
60,X,O,,X,,X,X,,,O
60,X,O,,X,O,X,X,,,O
60,X,O,,X,O,X,X,X,,O
61,X,,,,,X,,,,
61,X,,,,,X,O,,,
61,X,,,,,X,O,X,,
61,X,,O,,,X,O,X,,
61,X,,O,,,X,O,X,,X
61,X,,O,,O,X,O,X,,X
61,X,X,O,,O,X,O,X,,X
62,X,,,,,X,,,,
62,X,,,,O,X,,,,
62,X,,,,O,X,,X,,
62,X,,O,,O,X,,X,,
62,X,,O,X,O,X,,X,,
63,O,,,,,X,,,,
63,O,,,,,X,O,,,
63,O,,,,,X,O,X,,
63,O,,,,,X,O,X,,O
63,O,,X,,,X,O,X,,O
63,O,O,X,,,X,O,X,,O
63,O,O,X,,X,X,O,X,,O
63,O,O,X,O,X,X,O,X,,O
64,X,,,,,X,,,,
64,X,,,,,X,,,O,
64,X,X,,,,X,,,O,
64,X,X,,O,,X,,,O,
64,X,X,,O,,X,,,O,X
65,O,,,,,X,,,,
65,O,,,,,X,O,,,
65,O,,,X,,X,O,,,
65,O,,,X,,X,O,,O,
65,O,,,X,X,X,O,,O,
65,O,,,X,X,X,O,,O,O
65,O,,X,X,X,X,O,,O,O
65,O,,X,X,X,X,O,O,O,O
66,X,,,X,,,,,,
66,X,,O,X,,,,,,
66,X,,O,X,,X,,,,
66,X,,O,X,,X,O,,,
66,X,,O,X,,X,O,,,X
66,X,,O,X,O,X,O,,,X
66,X,X,O,X,O,X,O,,,X
67,O,,,,,X,,,,
67,O,,O,,,X,,,,
67,O,,O,,,X,,,,X
67,O,,O,O,,X,,,,X
67,O,,O,O,,X,X,,,X
67,O,O,O,O,,X,X,,,X
68,X,,,,,X,,,,
68,X,,O,,,X,,,,
68,X,,O,,,X,,,,X
68,X,,O,,,X,,,O,X
68,X,,O,X,,X,,,O,X
68,X,O,O,X,,X,,,O,X
68,X,O,O,X,X,X,,,O,X
68,X,O,O,X,X,X,,O,O,X
68,X,O,O,X,X,X,X,O,O,X
69,X,,,X,,,,,,
69,X,,,X,,,O,,,
69,X,,,X,,X,O,,,
69,X,,,X,O,X,O,,,
69,X,,,X,O,X,O,,X,
69,X,,,X,O,X,O,,X,O
69,X,,X,X,O,X,O,,X,O
70,X,,,,,X,,,,
70,X,,,,,X,,,,O
70,X,,X,,,X,,,,O
70,X,,X,,,X,O,,,O
70,X,,X,X,,X,O,,,O
70,X,,X,X,O,X,O,,,O
70,X,X,X,X,O,X,O,,,O
71,O,,,,,X,,,,
71,O,O,,,,X,,,,
71,O,O,,,X,X,,,,
71,O,O,,O,X,X,,,,
71,O,O,,O,X,X,,,,X
71,O,O,O,O,X,X,,,,X
